topic;link;domain;published_date;title;lang
SCIENCE;https://www.eurekalert.org/pub_releases/2020-08/dbnl-acl080620.php;eurekalert.org;2020-08-06 13:59:45;A closer look at water-splitting's solar fuel potential;en
SCIENCE;https://www.pulse.ng/news/world/an-irresistible-scent-makes-locusts-swarm-study-finds/jy784jw;pulse.ng;2020-08-12 15:14:19;An irresistible scent makes locusts swarm, study finds;en
SCIENCE;https://www.express.co.uk/news/science/1322607/artificial-intelligence-warning-machine-learning-algorithm-social-media-data;express.co.uk;2020-08-13 21:01:00;Artificial intelligence warning: AI will know us better than we know ourselves;en
SCIENCE;https://www.ndtv.com/world-news/glaciers-could-have-sculpted-mars-valleys-study-2273648;ndtv.com;2020-08-03 22:18:26;Glaciers Could Have Sculpted Mars Valleys: Study;en
SCIENCE;https://www.thesun.ie/tech/5742187/perseid-meteor-shower-tonight-time-uk-see/;thesun.ie;2020-08-12 19:54:36;Perseid meteor shower 2020: What time and how to see the huge bright FIREBALLS over UK again tonight;en
SCIENCE;https://interestingengineering.com/nasa-releases-in-depth-map-of-beirut-explosion-damage;interestingengineering.com;2020-08-08 11:05:45;NASA Releases In-Depth Map of Beirut Explosion Damage;en
SCIENCE;https://www.thequint.com/tech-and-auto/spacex-nasa-demo-2-rocket-launch-set-for-saturday-how-to-watch;thequint.com;2020-05-28 09:09:46;SpaceX, NASA Demo-2 Rocket Launch Set for Saturday: How to Watch;en
SCIENCE;https://www.thespacereview.com/article/4003/1;thespacereview.com;2020-08-10 22:48:23;Orbital space tourism set for rebirth in 2021;en
SCIENCE;https://www.businessinsider.com/greenland-melting-ice-sheet-past-tipping-point-2020-8;businessinsider.com;2020-08-16 00:28:54;Greenland's melting ice sheet has 'passed the point of no return';en
SCIENCE;https://www.thehindubusinessline.com/news/science/nasa-invites-engineering-students-to-help-harvest-water-on-mars-moon/article32352915.ece;thehindubusinessline.com;2020-08-14 07:43:25;NASA invites engineering students to help harvest water on Mars, Moon;en
SCIENCE;https://www.azoquantum.com/News.aspx?newsID=7321;azoquantum.com;2020-08-04 14:02:00;Astronomers Detect Electromagnetic Signal Caused by Unequal Neutron-Star Collision;en
SCIENCE;https://interestingengineering.com/nasa-finds-ammonia-linked-mushballs-and-shallow-lightning-on-jupiter;interestingengineering.com;2020-08-07 09:23:57;NASA Finds Ammonia-Linked 'Mushballs' and 'Shallow Lightning' on Jupiter;en
